conversation,speaker,chapter_per_conversation
" It's just that we were conditioned to think like this right
 from childhood. We have grown up with it. But now we need
 to question our belief system.
 ",SS,1
" When we were children our parents would buy something
 for us, saying 'we'll buy this for him and make the child
 happy or would take us for a picnic to make us feel happy'
 So that is the way we got conditioned.
 ",SO,1
" Absolutely. Now I have the best bungalow and the best car,
 and I have all possessions I could have dreamed of at home;I
 have every gadget that I wanted. Then why am I still looking
 for happiness? Shouldn't the search have ended because the
 objects are all there at home? Name it and I have it all. But
 I seem to be still searching for that feeling, which means the
 gadgets are not able to give it to me. What I have got from
 the gadgets is a comfortable life.
 ",SS,1
" In the context of the car that you mentioned, the
 comfort is also no more there when the phone call says that
 something unpleasant has happened at home. So, where is
 the comfort here?
 ",SO,1
" Picture yourself sitting in the car, your back straight, and
 your legs positioned comfortably. It is the mind that has suddenly
 created the pain because of the new information. When the
 mind gets uncomfortable, it is mind over matter. When the
 mind is in pain, physical comfort is immaterial. The body is
 comfortable but 'I' am uncomfortable at that moment.
 I am looking for happiness. So, at that moment the physical
 comfort does not matter. It could be the other way round too. I may be uncomfortable physically, I may just be sitting
 cross-legged on the floor, but internally I feel bliss, and so I
 am very comfortable
 ",SS,1
" How does one get there?
 ",SO,1
" One gets there by understanding that physical comfort is
 separate from emotional comfort. I was not able to experience
 internal comfort - the internal stability that we call happiness,
 but I thought that if I am physically comfortable, then that
 means I will be happy. Today, we have started to buy happiness
 If I buy this, this and this the list is never-ending I will be
 happy. This doesn't mean that we don't buy those things, rather
 let's not associate them with our being happy. I generally buy
 a thing because it's useful, it's comfortable or it's productive
 But is it happiness? No!
 At least I know why I am buying something; and I don't
 tell my mind that when I buy this I will be happy. If I associate
 material things with happiness then I am postponing my
 happiness and putting a new condition to it. Let's suppose
 that I am building a new house and I tell myself that when
 this house is built and I shift there, then I will be happy. This
 could mean after a year or after two years.
 So, again I am postponing my happiness until a future time.
 Think of a child - we look at the child in school and say that
 childhood is the best phase of life, but the child looks at the
 grownups around him and thinks they are so lucky, for they
 don't have to do homework or give an exam. He wishes to be
 in their place. The child is looking to be out of school so that
 he can be happy. He feels he will be very happy when he goes
 to a college. Then, when he gets into a college the thought is
 redefined. He feels he will be very happy when he gets a job
 is married and has a family. But soon, he feels that he will
 be very happy when his children are settled. Few years down
 the line, the children are settled and everything is fine. What
 is the thought now? He feels he will be very happy when he
 retires. So, when will he actually be happy? He postponed his
 happiness to a different stage of life and every time there was
 a new blank toill in. We are stuck in a vicious circle where
 we tell ourselves: when this happens, I will be happy.
 ",SS,1
" How distressing!
 ",SO,1
" True! And that's why we are not happy.
 ",SS,1
" We see so many people who are rich; they have helicopters,
 private airplanes, their own boats, everything. They still
 wander from temple to temple, from one guru to another.
 Finally, what are they seeking? How does one put an end
 to this search?
 ",SO,1
" First, by understanding that it is separate and second, by
 understanding that it is my internal creation and I can create
 it irrespective of everything else. I buy a car and then I say
 I am happy. The car is a physical object with no feelings or
 emotions. Obviously the car is not giving me happiness. So,
 what is? I create the thought: 'Wow! I bought a car. I finally
 bought what I wanted: These are positive thoughts.
 It is the same with say a woman with a new jewellery set.
 Is it the jewellery set that is giving her happiness? Or it is she
 who is creating the positive thought of possessing that set,
 which she thinks is giving her happiness?
 ",SS,1
" But don't you think that the positive thought cannot
 be created minus the jewellery set?
 ",SO,1
" Yeah! This means I need an object as a stimulus to create
 a response. So it's the object, and the object can be anything,
 like the jewellery set. I look at the object and I create a thou
 within.
 So when we acquire the object, our natural response is
 This is a lovely piece of jewellery that I have just got: Now
 who created this thought?
 ",SS,1
" That's a tricky question to answer. I create the thought
 or was it created because of the object.
 ",SO,1
" A physical piece of jewellery does not have thoughts and
 feelings. I look at it and I create a thought 'I have bought
 such a lovely piece of jewellery!' If 10 minutes later somebody
 walks into the room and says this is not looking nice on you or
 says this is fake, then what? Now who is creating the response?
 If the stimulus was creating the response then the stimulus will
 keep on creating the same response, irrespective of a change
 in situation. Further, if I show the same piece of jewellery
 to 10 people, will all of them create the same thoughts? For
 someone it's too loud I can't wear this, I don't like this at
 all; for another it could be I am sorry, I don't like jewellery
 at all, it could also be I really want this or how sad that I
 can't afford this. The piece of jewellery is the same.
 ",SS,1
" My reaction to the piece is my choice.
 ",SO,1
" It is my thought.
 ",SS,1
" I am reacting, which means I am creating. I am creating
 either happiness or unhappiness.
 ",SO,1
" So we could create thoughts of pleasure or thoughts of
 jealousy or hurt with the same object of jewellery. The stimulus
 is the same, the object is the same. If the object had to crea
 te
 the thought, it would create the same thought in everyone.
 If the object - whether a car, a piece of jewellery, or a lovely
 garden - is what is creating the thought, then it should create
 the same thought in every person. Look at this greenery. You
 may think how lovely it is to be with nature, while another
 person may just overlook it while walking and not even realize
 its beauty.
 These are different responses to the same stimulus. The
 response is the choice of the creator and I am the creator.
 ",SS,1
" I am the creator and I am creating unhappiness or
 happiness. Many of my thoughts and questions
 have been answered by this. But how does one do without
 a stimulus?
 ",SO,1
" By understanding that I am creating the thought. We
 were not aware that we are the creators. We tend to believe
 that thoughts come to us because of something outside. Let's
 suppose that you say something which according to me is
 a little rude, and I get hurt. I do not even think that I am
 creating that feeling of being hurt. I very conveniently say
 You hurt me. I think it is all coming from outside. Then I say
 that you need to talk nicely to me for me to feel better. You
 better apologize because once you do that, I am going to feel
 better. This is dependency
 ",SS,1
" Then he would say I never meant that.
 ",SO,1
" But you hurt me. We can just go on and on. I am hurt
 because of you I am angry because of you I am upset
 because of you I am jealous because of you I am happy
 because of you.
 ",SS,1
" If everything is happening because of others around, it
 means I am not taking responsibility of mysell.
 ",SO,1
" No responsibility and no control. How helpless are we if
 we are always dependent on anything external
 ",SS,1
" Isn't that a weakness?
 ",SO,1
" But isn't that the way we are living our lives? The minute
 we understand that this is an illusion, that they are not
 controlling us, and we are not dependent on them, we have
 a choice of what we create. This is independence. That's why
 the first thing that spirituality gives us is freedom. It liberates
 us. We are liberated from all the dependencies, everything we
 thought we were dependent on and postponed your happiness.
 We just postponed it, convincing ourselves that we could not
 be happy till we had what we wanted.
 ",SS,1
" It is very difficult to understand how I can be happy
 without what I want?
 ",SO,1
" We talked about objects, but what about achievements? 'I wanted to achieve this particular goal but I haven't reached
 there, so how can I be happy?' We have been brought up
 to believe that only those who achieve what they want
 will be happy This is what we were taught when we were
 children.
 ",SS,1
" I always thought that it was very natural to be that
 way. If I fail to get a job three times in a row, then I feel
 depressed, and it's very normal. I used to think like that.
 ",SO,1
" I thought that my happiness was dependent on getting the
 job. I thought it was normal and that's why getting upset was
 a normal reaction too. Becoming tense is normal, to worry
 is normal, to fear is normal, to feel sad is normal, but
 feel happy doesn't come so easily to us. Problems will come,
 challenges will be there, but to despair or to deal with them
 is our choice.
 Because everything else is outside.
 ",SS,1
" But that outside is also disturbing me inside.
 ",SO,1
" That's the choice. Does it disturb everyone in the same
 manner? Faced with failure, someone could go into depression,
 someone else could commit suicide, and yet another one would
 say 'Okay, I'm doing it again' and be successful the next time.
 This is same failure, but different responses.
 That's why my thoughts and feelings are in my hand. Just
 this one mechanism will change the way I live my life.
 ",SS,1
" But isn't it too quick? Between the moment when
 something happens and when you react, there is hardly any
 time to tell oneself that Look, this is a thought and it is
 just something outside and not inside. Where is the time
 for me to control my reaction?
 ",SO,1
" That's why we are living our lives in an automated mode. You
 know it's like how a machine functions. What's the difference
 between a machine and a human being?
 A machine has no choice - we put it on and off and then
 on and off. It is dependent on the person who is using it. You
 press the button and it's on, press the button again and it's
 off. Human beings, have a choice. Someone comes and says
 something to me - they press a button; if I am a machine
 will say 'obviously I will get angry. What is obvious about it?
 Obvious is only for a machine because it is made to work
 automatically.
 
 ",SS,1
" But everybody is living in that automated mode except
 for the saints and a few others.
 ",SO,1
" No, it's not about saints. It's just about being aware that
 we are human beings. People are pressing the button but we
 have a choice.
 ",SS,1
" Do say something about the meditation you do every
 day: Probably because of this practice you have been able
 to understand the difference between what is happening
 outside and what you are creating inside. How can one
 meditate like you? People usually think that meditation is
 about sitting in a corner and not thinking. It's so difficult
 for us to not think for a moment. Can you make this a
 little easy for us?
 ",SO,1
" Let me tell you a very simple thing: meditation is not
 about stopping the thinking process, rather it is to be aware
 of what I am thinking and to choose what I am going to be
 thinking.
 ",SS,1
" To be aware of what I am thinking
 ",SO,1
" Yes, like we are aware of what we are speaking.
 ",SS,1
" I am not aware.
 ",SO,1
" You are not speaking in an automated mode. You choose
 what to speak, you choose your actions - when to sit, when
 to get up, when to walk, when to sleep. We are choosing our
 actions, our words. Of course, sometimes the thoughts come
 so fast that we feel even the words are automated, and we say
 I didn't mean to say that. So, a step further will be to become
 aware of what I am thinking, to choose our thoughts and
 thereby choose our responses. It's a simple exercise we begin
 every morning and can do it any time during the day - just
 watch your thoughts",SS,1
" You say it is 'I' who create happiness, I
 who create sadness. It's finally I who is responsible. Yet
 it's very difficult to be happy when you have not achieved
 something in life.
 ",SO,2
" There are two dynamics here: one, if I achieve this then
 I will be happy, and another, I will be happy while achieving
 this. Its like we are on a journey, say from X to Y, and Y is
 the destination whether we are going by road, by train, or
 by air. When we start on the journey, others wish us a safe
 journey, not 'reach your destination anyways. It's not only
 reaching the destination that matters, it's the quality of the
 journey that counts.
 ",SS,2
" That's how many of us think that we have to reach our
 destination by hook or by crook.
 ",SO,2
" Okay, let's look at it this way. I have set a goal for myself,
 whether it's for marks as a student, for a professional position
 in my organization, or it could be in my relationships. In an
 case, we are not going to be able to lead our lives without
 goals, because without goals we will become passive. I wouldn't
 know where I am heading. Now, the other thing that I do is
 tell myself that I will be happy when I reach the goal.
 goal may take six months or six years. So I start moving to
 say, reach this particular position in my organization in the
 coming two years. Now I start my journey. It is about the
 way I work, the way I am with my colleagues, the way I am
 performing. Continuously, at the back of my mind I believe
 that when I reach there I will be happy. Now if there is a
 little lapse in the way I am working, if people around me are
 uncooperative, if there are certain obstacles coming in the
 way, what will happen to me?
 ",SS,2
" I will not be happy.
 ",SO,2
" Because I will create stress, I will create anxiety. Why?
 Because people are coming in the way of my happiness. I see
 them as obstacles not just in my goal, but also in my happiness
 Now suppose that I am going to walk from here to there and
 my mind says happiness is there. I start walking. While I am
 walking you are in the way, and because you are in the way
 I see you as someone in the way of my happiness. I will do
 anything to get you out of the way. If you are just a junior
 I will shout at you and order you to work fast. If you are a
 colleague and I think you are a threat to me in my reaching
 the goal, I can plot anything against you to get you out of the
 way. I may even compromise on my values. Suppose during
 my journey you tell me that if I am honest I'll have to stop
 here for one week, but if I tell a lie I can go there faster. Now,
 many of us wouldn't even think twice before using the other
 method. I might end up telling a lie and that's where I will
 compromise on my values and principles during my journey.I
 have begun to think that my values and principles are delaying
 my process of attaining my happiness.
 ",SS,2
" But if you are going to get happiness, how does it matter
 if you were to lie?
 ",SO,2
" At this moment we are still on the journey; we haven't
 reached the destination yet. While on the journey, I am creating
 anger and stress, and I am compromising on my values and
 principles. So, I am creating negative emotions in the course of
 my journey. For six months I create anxiety and stress, which
 in turn can disturb my relationships and create issues with
 people at work. My inner state of mind will be in an upheaval,
 and eventually it will start affecting my physical health. Finally
 after six months when I reach my goal, how will I feel?
 ",SS,2
" Don't you think you will be happy?
 ",SO,2
" If I have created all these negative emotions on the way I
 have experienced and have also transmitted the same emotions
 to everyone around me; all this happened on the journey. It's
 like I have fallen down, hurt myself, and then reached there
 By the time I reached there, I am totally in pain. But because
 I have reached there I am very happy. Now my conditioning
 says happiness is dependent on achievement
 ",SS,2
" You want to achieve further. The driving force becomes
 achieve-achieve-achieve,' and you are caught up in its pursuit,
 You go home and say oh, I'm so sorry I have been behaving
 like this, coming home late at night, troubling you, but I
 have to achieve the target?
 ",SO,2
" So, if for example you set a six-month goal, for the whole
 of six months you are allowing yourself to get bruised and
 hurt emotionally
 ",SS,2
" This means we are not just postponing happiness, we
 are actually creating unhappiness all the way. And this is
 going to multiply.
 ",SO,2
" Exactly. In the first six months, to reach (A) I was bruised
 because I created negative emotions around me, hurt people, lost
 my temper, whatever. By the time I reach (A), my emotional
 strength has already become weaker. During the next journey
 from (A) to (B), my strength is already weakened. It is the
 same environment, the same people, the same situations, but
 the weak emotional strength means I am going to get bruised
 further.
 ",SS,2
" Is it emotional strength?
 ",SO,2
" My power to face situations. I will get hurt more easily,I
 will react, I will get irritated.
 ",SS,2
" Don't you think all these things also make you physically
 weak?
 ",SO,2
" It's going to have an effect on the body, but when we are
 young we don't feel the impact. So we think it is absolutely
 fine, this is natural, this is the way to live. It's only later that we
 start showing symptoms of hypertension, diabetes and similar
 troubles. Since we accept stress as a part of our lives we also
 accept the physical symptoms as inevitable.
 ",SS,2
" I still can't understand how someone can be happy
 without achieving his goal. He comes home as a failure, and
 with so many problems
 ",SO,2
" Let's say I am looking for a job and I have been trying
 for the last six months. I am not getting a job and I am very
 demotivated and upset. As a friend, what would you say to me?
 ",SS,2
" Don't worry, it happens. One day you will get it.
 Meanwhile please let me know if I can be of help.
 ",SO,2
" If I say how can I not be worried, I haven't got a job for
 the last six months, what are you going to say to me?
 ",SS,2
" By worrying will you get it?
 ",SO,2
" So just lets say this to ourselves: by worrying will l get it
 ",SS,2
" That is very easily said
 ",SO,2
" But that's the solution. The more I worry, the weaker my
 mind becomes; it starts to show in my body language; I lose
 my enthusiasm and I get thoughts like how will I get a job? To
 get a job I need confidence, I need to be enthusiastic, I need
 to be ready to face the challenges the new job offers. It's not
 about what has happened, it's about what I need to do now
 how does my state of being have to be. I have to take care
 of that, else I am trapped in the vicious cycle of negativity.
 Who is going to employ a person who is demotivated and has
 given up on life? Who do you think will hire a person who
 has lost his internal strength and tolerance, who is unable to
 get along with people, and is not able to create team spirit?
 Who is going to hire a candidate like that? So, whatever the
 situation may be and however challenging it may be, I am
 not going to get the solution unless I take care of myself
 My business is not doing well and so it is natural for me to
 worry, but if I worry I will still not be able to do well. If I
 want to do well outside, I will have to be well within. But
 what is most important is: even if I don't do well, at least I
 can take care of myself.
 ",SS,2
" I had a guru who told me about a man who was
 undergoing a prolonged struggle due to a court case. At the
 same time he was also worried about his wife, who was very
 sick. Finally, after about 15 years he won the court case and
 his wife too recovered. But then he himself fell sick and died.
 Despite knowing of this humbling tale, why is it so difficult
 for me to understand what you are telling me right now?
 ",SO,2
" It's about priorities in life. What are my responsibilities in
 life? Normally I will count my family, my job, my work, my
 home, my friends, my relatives, my society, my relationships,
 my country..
 We can take responsibility of our family and move on to
 the entire world, but not our own responsibility. Let's say we
 are a family of five and four of them are not well. I want to
 take the responsibility of taking care of them, of healing them,
 but I will only be able to do that if I am healthy myself. This
 is about physical health. Now you apply the same equation
 to emotional health; I want to take care of my children, my
 wife, my husband, my parents; I want to ensure that they are
 happy.. but I am in pain.
 ",SS,2
" I even get sad when they are not able to do well in class.
 I wanted them to become swimming champions, tennis
 players, and so on.
 ",SO,2
" Why do you want to do all that? just so that they will be
 happy! Finally, I want everyone around me to be happy.
 ",SS,2
" And if they are happy, I will be happy.
 ",SO,2
" I thought I would take care of everything and then they
 will be happy; and when they are happy, then I will be happy.
 Spirituality teaches us that when I am happy and I am able to
 take care of them, then they will also be happy.
 ",SS,2
" So when I am happy, I am also spreading my happy
 emotions around. Wherever I go I am alive with happiness
 and I make other people happy too.
 ",SO,2
" Because you make them stronger. Let's see, what is happiness?
 Happiness is an internal strength. It does not mean excitement,
 I am not going to be jumping and dancing the whole day. I
 have lost my job and I am not excited about it.
 ",SS,2
" Happiness is strength I am not able to understand this.
 ",SO,2
" See, at any given point in time, there can only be one
 thought in the mind. One thought possesses one quality. That
 one quality could be either the right quality or the not-so-right
 quality. If I am creating a pure, powerful and positive thought,
 then it is the right quality. If I am creating a negative thought,
 an unpleasant thought, a thought of anxiety, pain and worry
 its a wrong thought. If it's the right thought I feel good; if it's
 not the right thought I feel low. If it's the right thought, then
 I feel good and that is stability. If it is not the right thought,
 I feel low and that is weakness
 ",SS,2
" So, stability is strength.
 ",SO,2
" If you are stable, you are strong. This strength will then
 shape the way you respond to situations. Like, you said, I want
 my child to have good marks. Okay, I want my child to have
 good marks but it is not necessary that this will happen every
 time. When he fails to get the marks I expect him to get or
 the marks he is capable of getting, what is my state of mind? I
 am upset. Is that good for me? No. Is that good for my child?
 No. Then why am I creating it? The marks did not create my
 feelings, rather I was the creator of what I felt.
 ",SS,2
" But I would have thought it was just normal to be upset
 and feel sad.
 ",SO,2
" Once I get upset, my child also gets upset. My child gets
 demotivated and I expect him to do well in that demotivated
 state of mind. The energy that i am giving to those around
 me is not positive, and that's why I am not fulfilling my
 responsibility in the right way. When my child gets less marks,
 my responsibility should be to first take charge of my mind
 I have to remain composed so that I don't react immediately
 by shouting at him. Next, my responsibility is to take care of
 his state of mind, and finally I carefully explain to him that he
 needs to study responsibly and get good marks the next time.
 ",SS,2
" So what we usually end up offering our child is the
 opposite. We deplete his energy, lower his self-esteem, an
 make him feel small. I think that's why suicides among
 children are prevalent today.
 ",SO,2
" A big reason why a child commits suicide is that he is not
 able to face his parents after the failure. It is not because he
 failed; it is because he doesn't want to see his parents unhappy
 and he holds himself responsible for their unhappiness. The
 parents had conditioned and pressured him throughout the 
 year that they would be happy only when he succeeded
 ",SS,2
" I thought it was my responsibility to see to it that my child
 achieved his goal - whether in studies, sports, or whatever
 else. I realize that I have been doing just the opposite.
 ",SO,2
" Every individual's life is based on four aspects: physical
 intellectual, emotional and spiritual. It is about my physical
 health, my intellectual development, my emotional state of
 being and my spiritual health. If I want to be successful in life
 and if I want my children to be successful in life - successful
 in the whole sense, then all the four aspects need to be equally
 balanced. When I consider my responsibilities toward my child, I
 take into account his academic performance and extracurricular
 performance, and I take care of his physical health. My child
 should get the best home, the best food, the best exercise and
 so on. With regard to his social well-being, I want him to have
 good friends and indulge in extracurricular activities. But how
 is my child feeling inside? We are not really considering and
 taking care of that aspect. Physically and academically he may
 be doing very well, but the constant pressure, the constant
 comparison with other people, and the constant criticism that
 he gets from his parents are actually depleting his emotional
 strength. So I have to ask myself whether I am fulfilling my
 responsibility. Tomorrow he could grow up to be a good doctor
 or a senior lawyer, and be physically very strong, but if he is
 emotionally not strong, will he be a good human being? And
 if he is not a good human being, a pure and powerful being
 will he really be happy?
 ",SS,2
" What happens if he is emotionally not very strong?
 ",SO,2
" If I am a good doctor, technically I am good. But if I am not emotionally strong, then I will get irritated very easily, I
 will react easily,I will not empathize with my patients and
 my colleagues. I will not get along with people because I am
 intolerant. Can I stil call myself a good doctor?
 While we were growing up they only taught us how to read,
 how to write, how to speak. No one taught us how to think.
 ",SS,2
" But that's what happens. We knew only
 about IQ; EQ came into the picture much later.
 ",SO,2
" There is no doubt that your IQ is important, but so is your
 emotional strength. The emotionally strong person can handle
 all struggles and challenges of life. With a strong IQ we need
 emotional strength to achieve success.
 ",SS,2
" When I was, growing up I remember that, adults often
 slapped children to teach them, even at schools. If they scored
 less marks, they felt scared to share those marks at home.
 ",SO,2
" Right. So we need to ask ourselves whether we are fulfilling
 all our responsibilities suitably. It is not enough to fulfil one
 responsibility by getting them to perform well. What about
 my second responsibility of making the child a strong human
 being? Life is going to present a lot of challenges. Today your
 child has passed with the highest marks and come first in
 class, but will his marks help him face all the challenges in life?
 ",SS,2
" Maybe emotionally he is so weak that he will not be
 able to compete with other things in life.
 ",SO,2
" Exactly. If he has to face even a small failure, he will not
 be able to cope up. What if he has to work with people with
 whom he cannot adjust? We did not take care of that aspect.
 Why? The prime reason is that we had not taken care of that
 aspect in our own lives. We ignored the importance of being
 emotionally healthy. We thought our responsibility is to take
 care of everything external, whether in our lives or the lives
 of those for whom we were responsible.
 ",SS,2
" Most men feel that their responsibility is to earn money
 and when they do that their job is done.
 ",SO,2
" The husband feels he has fulfilled all the needs of the family
 Now if he has given them all of this, then they should be happy
 because happiness is supposed to be coming from outside.
 ",SS,2
" We give them good toys, good clothes, good food, etc.,
 we have done our duty. Now if they don't study, that's their
 problem. We easily put it to sanskaras, their school, or peer
 pressure. We keep on blaming other people.
 ",SO,2
" Because you are not ready to take that responsibility. It's easy
 to earn and to send your child to the best school, to give him
 the best food and the best home, and the best of everything,
 but it's a huge challenge to make your child emotionally strong.
 ",SS,2
" The most important thing I have to realise is that first I
 have to be emotionally strong.
 ",SO,2
" So it's time to do that now. While taking care of our
 children we always need to remember, we can send our child
 to the best school without having gone to school ourselves.
 We can ensure that our children eat well, even if we sleep
 empty stomach. But it is not possible to make our children
 happy without being happy ourselves. You cannot make your
 child emotionally strong without being emotionally strong
 yourself, so that's where the responsibility comes to find it
 first in yourself.",SS,2
" I have been speaking to a few friends and they mentioned
 something called the u-stress meaning good stress. They
 say we need that kind of stress and tension. One of my
 friend's claims that he actually waits till he is stressed and
 time is less, because then he works best. How should one
 understand that?
 ",SO,3
" It's a belief system. It is something that we are hearing
 everywhere around us that unless there is stress I will
 not perform; if there is no stress I will become passive and
 laidback. They call it the drive to perform, to achieve. So we
 need to ask ourselves: is it really true? For that I need to ask
 myself what is this stress and how do I feel when I experience
 it. Imagine that I suddenly have a problem in my knee and it
 starts paining, I am still walking but is it the same as I was
 walking before, when everything was fine?
 ",SS,3
" No, there is pain now
 ",SO,3
" Naturally it's to going to be a little uncomfortable. However
 I say this is okay, or even accept it as a natural part of ageing.
 I keep walking and because I am not treating it or taking care
 of it, the pain is constantly there and at times it is aggravated.
 I am still managing my life, though. Now, suddenly I have to
 run because of some reason. Will I be able to run with that
 pain? I will not be able to. It's the same with stress. Stress
 is in my mind; it is a little pain in the way I feel. How do I
 feel when I experience stress? Even if I am not able to check
 myself at the emotional level, let's just check the physical or
 bodily parameters my heartbeat increases and so does my
 pulse rate, at times my mouth goes dry, I start getting a very
 uncomfortable feeling in the stomach, my head feels heavy, and so on. This is when the effect of the mind has already taken a
 toll on the body, and it is a much later stage. Some students
 fall ill on the day of their exams, with fever or nausea. Some
 people start sweating or their mouth goes dry before a public
 speech. This is the effect of the mind on the body.
 ",SS,3
" But I thought it was normal. The first time I was facing
 a camera, my mouth and lips had all gone dry.
 ",SO,3
" Did you perform better?
 ",SS,3
" No, it was very bad.
 ",SO,3
" Lets say a child has to sit for an exam. Exam is a target and
 a pressure. If he creates anxiety, does he perform better?
 I remember when we used to give our exams and come back
 and evaluate our own performance, we would point out places
 where we knew the answer but made mistakes. We referred to
 these as careless mistakes. What is a careless mistake? I know
 the answer but I have written something else. And why have
 I done it? Because there is no clarity, which is a state brought
 about by the presence of anxiety
 It's not carelessness. It has happened because I did not take
 care of my mind. So there is no clarity in thinking, decision-
 making power is affected, performance gets affected, my hands
 tremble, and my speed of writing slows down. I may even say
 that I didn't finish my exam
 ",SS,3
" So why do people say that they work best when they
 are stressed and tensed, and when the deadline is looming
 on their heads?
 ",SO,3
